"Compound"	"Reactions of compounds"
STEROID-O-SULFATE	STEROID-SULFOTRANSFERASE-RXN
CPD-12182	""
CPD-14765	RXN-13728
EHNA	""
CPD-18434	RXN-17064
CPD-303	CYCLOHEXYLAMINE-OXIDASE-RXN // CYCLAMATE-SULFOHYDROLASE-RXN
CPD-7003	RXN-7659 // RXN-7660
2-HEXAPRENYL-6-METHOXYPHENOL	RXN3O-12 // RXN3O-73
BILIRUBIN-GLUCURONOSIDE	2.4.1.95-RXN
CPD-9561	RXN-9073 // RXN-9072
CPD0-2012	""
SECOLOGANATE	RXN-4523 // RXN-4522
CPD-12019	RXN-11068 // RXN-11069 // RXN-11067
CPD-14629	RXN-13629 // RXN-13628
DITHIOERYTHRITOL	2.8.1.5-RXN
CPD-18338	""
CPD-2751	RXN66-164 // RXN66-163
2-CARBOXY-D-ARABINITOL	2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN
CPD-6972	NAPHTHOATE-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // RXN-7614
BARBITURATE	BARBITURASE-RXN // URACIL-DEHYDROGENASE-RXN
CPD-9469	RXN-9006 // RXN-9008
CPD0-1920	""
S-NORLAUDANOSOLINE	RXN-9981 // RXN-9980
CPD-11953	RXN-10996 // RXN-10999 // RXN-10995
CPD-14531	""
DIISOPROPYL-FLUOROPHOSPHATE	DIISOPROPYL-FLUOROPHOSPHATASE-RXN
CPD-1831	4.1.1.78-RXN
CPD-243	23-DIHYDROXYINDOLE-23-DIOXYGENASE-RXN
2-ALPHA-HYDROXYETHYL-THPP	RXN-12508 // RXN-12583 // RXN-14037
CPD-6944	""
APIGENIN-7-O-BETA-D-GLUCOSIDE	FLAVONE-APIOSYLTRANSFERASE-RXN // RXN-9699 // RXN-9700 // RXN-13800 // RXN-5021
CPD-9423	RXN-8981 // RXN-13523
S-781314-TETRAHYDROPROTOBERBERINE	2.1.1.122-RXN
CPD-11782	RXN-11643 // RXN-11642
CPD0-1883	""
CPD-14423	RXN-13443 // RXN-13442
DIHYDRO-DIOH-BENZOATE	DHBDEHYD-RXN // ISOCHORMAT-RXN
CPD-18239	RXN-16912 // RXN-16913
CPD-2022	1.5.1.28-RXN
16-ALPHA-HYDROXYSTEROID	16-HYDROXYSTEROID-EPIMERASE-RXN // 1.1.1.147-RXN
CPD-6761	RXN-13458 // RXN-7282 // RXN-11543 // RXN-2506
ALPHAALPHA-TREHALOSE-66-BISMYCOLATE	RXN1G-874
CPD-9372	RXN-8941 // RXN-8940
R-N-METHYLCOCLAURINE	1.1.3.34-RXN // RXN-8702
CPD-11671	RXN-10782 // RXN-10781 // RXN-10784
CPD0-1719	""
CPD-14323	RXN-13345 // RXN-13344
DFA-IV	4.2.2.16-RXN
CPD-18147	RXN-16827 // RXN-16826
PHENOLIC-STEROID	STEROID-SULFOTRANSFERASE-RXN
CPD-20053	RXN-18761 // RXN-18760
12-DIHYDROSANTONIN	ALPHA-SANTONIN-12-REDUCTASE-RXN
CPD-659	CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN // RXN-5682 // CYCLOHEXADIENYL-DEHYDROGENASE-RXN // PREPHENATE-TRANSAMINE-RXN // PREPHENATE-ASP-TRANSAMINE-RXN // RXN-14476
ALPHA-HYDROXY-915-DIOXOPROSTANOATE	15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN
CPD-927	R607-RXN // RXN-13169 // RXN-13150 // R606-RXN
QUININE	1.14.13.67-RXN // RXN-9212
CPD-11583	""
CPD0-1683	""
CPD-14174	RXN-13201 // RXN-13200
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	DEHYDDEOXPHOSGALACT-ALDOL-RXN // DEHYDDEOXGALACTKIN-RXN
CPD-17974	RXN-16674 // RXN-16673
PALMATINE	2.1.1.147-RXN // RXN-8699 // 2.1.1.118-RXN
CPD-19996	""
11-DEOXYCORTICOSTERONE	CORTICOSTEROID-SIDE-CHAIN-ISOMERASE-RXN // RXN66-359 // RXN-15607 // RXN66-358
DEHYDROSPHINGANINE	RXN-12641 // 3-DEHYDROSPHINGANINE-REDUCTASE-RXN // RXN-12645 // SERINE-C-PALMITOYLTRANSFERASE-RXN
CPD-631	METHIONINE-DECARBOXYLASE-RXN
CPD-19684	""
ALBENDAZOLE	ALBENDAZOLE-MONOOXYGENASE-RXN
CPD-13611	RXN-12642
CPD-9188	""
PHYTOSPINGOSINE	RXN3O-458 // RXN3O-328 // RXN3O-1380 // CERAMIDASE-YEAST-RXN // RXN3O-504
PSEUDOTROPINE	TROPINONE-REDUCTASE-RXN // RXN-8258 // RXN-9295
CPD-481	RXN-12339 // 2.7.8.10-RXN
CPD-11445	""
CPD-17587	""
CPD0-1653	""
CPD-13297	RXN-12340
CPD-14119	RXN-13115
PSYCHOSINE	PSYCHOSINE-SULFOTRANSFERASE-RXN // 2.4.1.23-RXN
D-HAMAMELOSE	HAMAMELOSE-KINASE-RXN
CPD-8427	""
CPD-17782	RXN-16530 // RXN-16529
CPD-17612	""
OH-PYR	HYDROXYPYRUVATE-DECARBOXYLASE-RXN // RXN0-305 // SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // RXN0-300 // SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN // SERINE-DEHYDROGENASE-RXN // GLYCERATE-DEHYDROGENASE-RXN // HYDROXYPYRUVATE-REDUCTASE-RXN // RXN0-6562 // RXN-974 // SERINE--PYRUVATE-AMINOTRANSFERASE-RXN
CPD-13610	RXN-12642
CPD-19899	RXN-18624 // RXN-18623
SPHINGOSINE	2.7.8.10-RXN // 2.4.1.23-RXN // RXN3DJ-11417 // CERAMIDASE-RXN // RXN3DJ-25
1-DEOXY-D-ALTRO-HEPTULOSE-7-PHOSPHATE	2.2.1.4-RXN
CPD-6122	RXN-6425
ACETYL-ADP-RIBOSE	""
CPD-9082	""
POLYPRENYL-PPI	""
CPD-12061	RXN-11093
CPD-113	R181-RXN // R162-RXN
CPD-12051	RXN-11094 // RXN-11092
CPD0-1616	""
CPD-12063	RXN-11093 // RXN-11094
CPD-14078	""
CPD-12054	RXN-11092 // RXN-11082
CYCLOPENTANOL	CYCLOPENTANOL-DEHYDROGENASE-RXN
CPD-12060	RXN-11082 // RXN-11091
CPD-17700	RXN-16474
NAPHTHOL	RXN-12698
CPD-19762	RXN-18404 // PCP4MONO-RXN
CPD-9642	RXN-9131
--6-HYDROXY-3-OXO-ALPHA-IONONE	VOMIFOLIOL-4-DEHYDROGENASE-RXN
CPD-19967	""
CPD-594	GUANIDINOPROPIONASE-RXN
CPD-19968	""
7-O-PHOSPHOHYGROMYCIN-B	HYGROMYCIN-B-KINASE-RXN
BETA-D-MANNOSYLPHOSPHODECAPRENOL	2.4.1.199-RXN // RXN-18684
CPD-9019	""
CPD-19501	RXN-18220
CPD-11228	RXN-10431
BENZYL-ISOTHIOCYANATE	THIOCYANATE-ISOMERASE-RXN // RXN-12027
CPD0-1587	""
CPD-20056	RXN-18766 // RXN-18765
CPD-13961	""
CPD-19494	""
CPDQT-407	RXNQT-4320 // RXNQT-4315
CPD-17560	RXN-16303
N-PHOSPHOGUANIDINOETHYL-METHYL-PHOSPHAT	OPHELINE-KINASE-RXN
CPD-19602	""
CPD-12964	""
CPD-5744	""
CPD-12963	""
6-SELENO-OCTANOATE	""
CPD-12621	RXN-11655
CPD-8966	""
CPD-9567	RXN-9076 // RXN-9078 // RXN-9077
CPD-1096	THIOETHANOLAMINE-S-ACETYLTRANSFERASE-RXN
CPD0-1554	""
INDOLE_ACETATE_AUXIN	INDOLEACETATE--LYSINE-LIGASE-RXN // RXN-9083 // RXN-9084 // RXN-2946 // RXN-2944 // RXN-2945 // RXN-2947 // RXN-2948 // RXN-10429 // RXN-10430 // RXN-10431 // RXN-10432 // RXN-10433 // RXN-10434 // RXN-12206 // RXN-5421 // RXN-9825 // RXN-9076 // 2.4.1.121-RXN // RXN-3181 // RXN-14711 // RXN-2981 // RXN-2982 // RXN-3166 // RXN-10715 // RXNN-404 // RXN-1404 // RXN-3165 // RXN-3164 // RXN-3163 // RXN-1408 // RXNDQC-2 // RXN-5581 // RXN-10711 // INDOLE-3-ACETALDEHYDE-OXIDASE-RXN
CPD-13903	RXN-12857
CPD-10546	RXN-10711 // RXN-9825
CPD66-92	""
CPD-14644	""
CPD-17467	""
CPD-15555	RXN-3941 // RXN-14711
N-FORMYLANTHRANILATE	1.13.11.47-RXN
CPD-10507	RXN-11655
CPD-19542	""
CPD-560	5-METHYLTHIORIBOSE-KINASE-RXN // TRANS-RXN0-461 // METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN
6-AZAURIDINE	""
CPD-16454	RXN-15250 // RXN-15249
CPD-8866	""
CPD-16511	RXN-15302 // RXN-15305
CPD-10823	5.4.99.14-RXN // RXN-10081
CPD-15475	RXN-15249 // RXN-15251 // RXN-14637
CPD0-1502	""
CPD-16512	RXN-16722 // RXN-15302
CPD-13761	""
CPD-12151	""
CPD66-53	RXN66-488
D-TRYPTOPHAN	D-TRYPTOPHAN-N-MALONYLTRANSFERASE-RXN // RXN-8664 // D-TRYPTOPHAN-N-ACETYLTRANSFERASE-RXN
CPD-17010	""
D-TYROSINE	""
N-ACETYLINDOXYL	ACETYLINDOXYL-OXIDASE-RXN
CPD-216	5.1.1.11-RXN
CPD-19449	""
CPD-5461	""
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	GARTRANSFORMYL2-RXN // GART-RXN // GLYRIBONUCSYN-RXN
CPD-8819	""
CPD-10770	RXN-10013 // RXN-10012
CPD0-1482	""
CPD-13662	RXN-13467
CPD1F-462	RXN1F-475
CPD-16907	RXN-15673 // RXN-15671 // RXN-15691 // RXN-15690
N-5-PHOSPHORIBOSYL-ANTHRANILATE	PRAISOM-RXN // PRTRANS-RXN
CPD-19429	RXN-18141
CPD-12950	RXN-11982 // RXN-11981
CPD-52	3-PROPYLMALATE-SYNTHASE-RXN
CPD-12947	""
5-HYDROXYINDOLE_ACETALDEHYDE	RXN-10779 // RXN-10780 // RXN-10778 // RXN-10781
CPD-12944	""
CPD-8682	RXN-8500
CPD-18168	RXN-16844
CPD-1069	CAFFEATE-34-DIOXYGENASE-RXN
CPD-12941	""
CPD0-1440	""
CPD-12956	""
CPD-13527	3.4.19.11-RXN
CPD-12934	RXN-11995
CPD0-341	""
CPD-12951	RXN-11983 // RXN-11982
CPD-16804	RXN-15576
CPD-12948	""
METHYLARSONITE	2.1.1.138-RXN // 1.20.4.2-RXN
CPD-12945	""
CPD-19392	""
CPD-12942	""
CPD-487	RXN-12584 // 2.7.7.51-RXN
CPD-12957	RXN-11985 // RXN-11984
5-ACETAMIDOVALERATE	VALGLU-RXN // AMVAL-RXN // KETAMID-RXN
CPD-12938	RXN-11995 // RXN-11985
CPD-845	RXN-8410 // R527-RXN // RXN-11267
CPD-12952	RXN-11984 // RXN-11983
CPD-1063	R145-RXN // RXN-14006 // 5.3.1.23-RXN
CPD-12949	RXN-11978 // RXN-11981 // RXN-11977
CPD0-1402	""
CPD-12946	""
CPD-13379	""
CPD-12943	""
CPD0-2582	RXN0-7154
CPD-18166	RXN-16844 // RXN-16842
CPD-16607	RXN-18042 // RXN-15377
CPD-12940	""
LOMBRICINE	LOMBRICINE-KINASE-RXN
CPD-12953	RXN-11978
CPD-19317	RXN-18038 // TRANS-RXN-316 // RXN-18036
MESO-DIAMINOPIMELATE	UDP-NACMURALGLDAPLIG-RXN // DIAMINOPIMELATE-DEHYDROGENASE-RXN // RXN-14246 // DIAMINOPIMDECARB-RXN // TRANS-RXN-291 // RXN0-961 // DIAMINOPIMEPIM-RXN
CPD-4591	""
4-OXOPROLINE	4-OXOPROLINE-REDUCTASE-RXN
CPD-809	RXN-8930 // R468-RXN
CPD-10582	""
CPD0-1333	""
CPD-13184	RXN-12266
CPD0-2542	""
CPD-16470	RXN-15266
L-RHAMNONO-14-LACTONE	L-RHAMNONO-14-LACTONASE-RXN // RXN-12158 // RXN-15753 // L-RHAMNOSE-1-DEHYDROGENASE-RXN
CPD-19220	RXN-17896 // RXN-17895
CPD-453	2.4.1.194-RXN
4-HYDROXYAMINOQUINOLINE-N-OXIDE	1.7.1.9-RXN
CPD-7965	RXN-8235
CPD-10489	RXN-8670
CPD0-1264	""
CPD-13068	RXN-12115
CPD0-2510	""
CPD-16010	""
L-2-AMINOHEXANOATE	2-AMINOHEXANOATE-AMINOTRANSFERASE-RXN
CPD-19085	RXN-17670 // RXN-17667
CPD-443	""
4--FLUOROGLUTAMATE	""
CPD-783	CHMS-DEHYDROGENASE-RXN // 1.13.11.15-RXN
CPD-10230	RXN-9587 // RXN-9586
CPD0-1220	""
CPD-12848	""
CPD0-2462	""
CPD-15919	RXN-15051
ISOCHORISMATE	ISOCHORMAT-RXN // RXN-1981 // 2.5.1.64-RXN // ISOCHORSYN-RXN
CPD-19029	RXN-17593 // RXN-17592 // RXN-17599
CPD-4223	RXN-4321 // RXN-4320
3-OXOGLYCYRRHETINATE	RXN-12687 // 1.1.1.230-RXN
CPD-7690	""
CPD-10151	RXN-13121 // RXN-13122 // RXN-13119
CPD0-1148	AZOBENZENE-REDUCTASE-RXN // RXN0-5375
CPD-12784	RXN-11806 // RXN-11805
CPD0-2359	""
CPD-15890	""
INDOLE-3-ACETYL-LEU	RXN-2982 // RXN-2945
CPD-18987	""
CPD-4123	RXN-4206 // RXN-4204
3-METHYLBENZYLSUCCINATE	RXN-943 // RXN-942
CPD-7652	RXN-10009 // RXN-15734 // RXN-15742
CPD-10101	RXN-9448 // RXN-9447
CPD0-1061	""
CPD-12684	RXN-11725 // RXN-11724
CPD0-2292	""
Z-2-METHYL-5-ISOPROPYLHEXA-25-DIENAL	ALPHA-PINENE-OXIDE-DECYCLASE-RXN
CPD-15523	RXN-14687
HYDROXYPROPANAL	RXN0-5455 // RXN0-6487 // GLYCEROL-DEHYDRATASE-RXN // 13-PROPANEDIOL-DEHYDROGENASE-RXN
CPD-18916	""
CPD-3944	RXN-16217 // RXN-4002
3-HYDROXY-CISCIS-MUCONATE	RXN-9922 // RXN-17556
CPD-7545	RXN-8054 // RXN-4603
CPD-10083	RXN-9451 // RXN-9450
CPD-9983	""
CPD-12578	RXN-11611 // RXN-11612 // RXN-11610
CPD0-2261	""
VERATRALDEHYDE	RXN-17137 // RXN-17138
CPD-15424	RXN-13168 // RXN-13167 // RXN-14553 // RXN-15915 // RXN-14552
HYDANTOIN-5-PROPIONATE	IMIDHYD-RXN
CPD-18778	RXN-17371 // RXN-17367
CPD-373	RIBOSE-1-DEHYDROGENASE-NADP+-RXN
3-7-DIMETHYLXANTHINE	RXN-7599 // RXN-11519 // RXN-11516 // RXN-11513 // RXN-7603 // RXN-7598
CPD-7302	""
CORYDALINE	2.1.1.147-RXN
CPD-9838	RXN-18497
CPD-12469	RXN-15248 // RXN-15250
CPD0-2182	""
TRINAPHTAL-CPD	SCYTALONE-DEHYDRATASE-RXN
CPD-15234	RXN-14355
GLYCYL-PEPTIDE	2.3.1.97-RXN
CPD-18730	RXN-17332 // RXN-17331
CPD-3572	""
24-DICHLORO-25-DIHYDRO-5-OXOFURAN-2-AC	RXN-16227 // RXN-9856
CPD-7247	1.3.99.23-RXN
CIS-12-DIHYDRONAPHTHALENE-12-DIOL	1.3.1.29-RXN // NAPHTHALENE-12-DIOXYGENASE-RXN
CPD-9675	RXN-9150 // RXN-9149 // RXN-9155
CPD-12348	RXN-11378
CPD0-2128	""
THIAMINE-P	THI-P-KIN-RXN // RXNQT-4191 // RXN-12611 // RXN-12610 // RXN0-3542 // THI-P-SYN-RXN // THIKIN-RXN
CPD-15134	RXN-14154
GAMMA-PENTACHLOROCYCLOHEXANE	LINA2-RXN // LINA1-RXN
CPD-18589	RXN-17197 // RXN-17196
CPD-343	1.1.1.127-RXN // RXN-16964 // 5.3.1.17-RXN
CPD-7150	RXN-7842
2-PROTOCATECHUOYLPHLOROGLUCINOLCARBOXYLA	RXN-12531 // QUERCETIN-23-DIOXYGENASE-RXN
CARBOXY-ARABINITOL-PP	""
CPD-963	RXN-642 // RXN-13705 // RXN-641
CPD-12217	RXN-11265
CPD0-2072	""
TAUROCYAMINE	TAUROCYAMINE-KINASE-RXN
CPD-14968	""
ETHYL-2R-METHYL-3S-HYDROXYBUTANOATE	RXN0-1941
CPD-18495	RXN-17125 // RXN-17124
CPD-3194	RXN66-144 // RXN66-142
CPD-7035	RXN-11265 // RXN-7700 // RXN-13536 // RXN-13542 // RXN-13540 // RXN-13541 // RXN-13694 // RXN-13543
2-KETO-3-DEOXY-D-GLUCARATE	4.1.2.20-RXN
BUTYRYL-P	PHOSPHATE-BUTYRYLTRANSFERASE-RXN // BUTYRATE-KINASE-RXN
CPD-9615	""
CPD0-2041	""
SQUALENE	RXN-4961 // 5.4.99.17-RXN // RXN-13284 // RXN-13752 // RXN-9895 // RXN-13724 // SQUALENE-MONOOXYGENASE-RXN // RXN-17128 // RXN66-281 // RXN-12337 // RXN-13162
CPD-12156	RXN-11191
CPD-14702	RXN66-338 // RXN-7875
EE-PIPEROYL-COA	PIPERIDINE-N-PIPEROYLTRANSFERASE-RXN
CPD-294	RXN-18365 // RXN-18362 // CARBOXYMETHYLENEBUTENOLIDASE-RXN // RXN-17559 // RXN-10137 // RXN-9922 // 1.2.1.61-RXN // RXN-9733 // RXN-9913 // RXN-10077 // RXN-9868 // MALEYLACETATE-REDUCTASE-RXN
CPD-6998	RXN-7656
2-ETHYLHEXYL-PHTHALATE	BIS2-ETHYLHEXYLPHTHALATE-ESTERASE-RXN
BETA-D-GLUCOSYL-14-N-ACETYL-D-GLUCOSAMI	2.4.1.188-RXN
CPD-9547	RXN-9066 // RXN-9065
CPD0-1964	""
SANGUINARINE	RXN-9276 // 1.5.3.12-RXN
CPD-12016	RXN-11060
CPD-14625	RXN-13626 // RXN-13625
DIPROPYLETHER	""
CPD-18334	RXN-7568 // RXN-17066
CPD-2744	RXN66-83
2-BETA-D-GLUCOSYL-SN-GLYCEROL-3-PHOSPH	""
CPD-6966	""
BACCATIN-III	RXN-8857 // 2.3.1.167-RXN
CPD-946	2-HYDROXYBIPHENYL-3-MONOOXYGENASE-RXN // RXN-624
CPD0-1916	""
S-METHYLTHIOGLYCOLATE	2.1.1.3-RXN
CPD-11925	""
CPD-14524	RXN-13531 // RXN-13533 // RXN-13530
DIHYDROXYNAPHTHOATE	RXN-9103 // RXN-9105 // RXN-9098 // RXN-17066 // RXN-11047 // RXN-9190 // RXN-9358 // RXN-9365 // DMK-RXN // RXN-9360 // RXN-9217 // RXN-9359 // RXN-9204 // RXN-9311
CPD-183	GALLATE-DECARBOXYLASE-RXN // GALLATE-DIOXYGENASE-RXN // RXN-11861 // GALLATE-1-BETA-GLUCOSYLTRANSFERASE-RXN // RXN-10892 // RXN-12132 // TANNASE-RXN
CPD-241	4.1.2.34-RXN // 1.13.11.38-RXN
2-5-DIHYDROXYPYRIDINE	1.13.11.9-RXN // RXN-13081 // RXN-7573 // 2-HYDROXYPYRIDINE-5-MONOOXYGENASE-RXN
CPD-69	R524-RXN // RXN-12893 // R521-RXN // RXN-17753 // TRANS-RXN-14
AMP-MOR	""
CPD-941	""
S-2-HYDROXYSTEARATE	1.1.1.99-RXN
CPD-11760	RXN-10848
CPD0-1812	RXN-15088 // RXN-15090 // RXN-15091
CPD-14400	RXN-13434
DIETHYLTHIOPHOSPHATE	PHOSPHO-DETHIO-RXN // AMINOPARATHION-PHOSPHATASE-RXN // ARYLDIALKYL-PHOSPHATASE-RXN
CPD-18229	RXN-16901 // RXN-16912 // RXN-16911
CPD-20209	RXN-18843 // RXN-18844
1516-DIHYDROBILIVERDIN	1.3.7.2-RXN // 1.3.7.3-RXN
CPD-6721	RXN-7781
ALPHA-RIBAZOLE	COBALAMINSYN-RXN // RXN-16788 // RIBAZOLEPHOSPHAT-RXN
CPD-9360	""
R-CANADINE	1.5.1.31-RXN // RXN-15641
CPD-11667	RXN-11263 // RXN-11262
CPD0-1712	""
CPD-14320	RXN-13346 // RXN-13341 // RXN-13344 // RXN-13340
DESMETHYLSULOCHRIN	RXN-13551 // QUESTIN-MONOOXYGENASE-RXN
CPD-18105	RXN-16790
PHASEOLLIDIN-HYDRATE	4.2.1.97-RXN
CPD-20047	RXN-18751
12-DEHYDROTETRACYCLINE	RXN-17976 // RXN-17988 // ANHYDROTETRACYCLINE-MONOOXYGENASE-RXN
CPD-6543	""
ALPHA-D-GALACTOSYL-13-BETA-D-GALACTOS	2.4.1.124-RXN
CPD-926	R606-RXN
QUESTIN	QUESTIN-MONOOXYGENASE-RXN // RXN-13550
CPD-11570	""
CPD0-1678	""
CPD-14164	RXN-13170 // RXN-13169
DEACETOXYVINDOLINE	1.14.11.20-RXN // 2.1.1.99-RXN
CPD-17965	RXN-16675 // RXN-16674
P-CHLOROPHENYLALANINE	""
CPD-19932	RXN-18637 // RXN-18638
10-HYDROXYDIHYDROSANGUINARINE	2.1.1.119-RXN // 1.14.13.56-RXN
CPD-630	RXN-18743 // RXN-13669 // VALINE-DECARBOXYLASE-RXN // RXN-13670
ADP-D-GLYCERO-D-MANNO-HEPTOSE	5.1.3.20-RXN // RXN0-4342
CPD-9172	""
PROTOAPHIN-AGLUCONE	4.2.1.73-RXN
CPD-11438	""
CPD0-1647	""
CPD-14109	RXN-13096 // RXN-13095
D-GALACTOSYLAMINE	""
CPD-17753	RXN0-7143
O-SINAPOYLCHOLINE	SINAPINE-ESTERASE-RXN // 2.3.1.91-RXN
CPD-19895	RXN-18624
1-AMINO-PROPAN-2-ONE-3-PHOSPHATE	PDXJ-RXN // RXN-8447 // RXN-13179
CPD-61	DIMETHYLMALEATE-HYDRATASE-RXN // 23-DIMETHYLMALATE-LYASE-RXN
ABEQUOSYL-D-MANNOSYL-RHAMNOSYL-ETCETERA	ABEQUOSYLTRANSFERASE-RXN
CPD-9062	""
PHTHALATE	RXN-11679 // PHTHALATE-45-DIOXYGENASE-RXN // RXN-11813 // RXN-17537 // RXN-11184 // RXN-2506 // 3.5.1.79-RXN
CPD-11285	""
CPD0-1612	""
CPD-14062	RXN-13042 // RXN-13041
CYCLOHEXANOL	CYCLOHEXANOL-DEHYDROGENASE-RXN // RXN-8697
CPD-17670	RXN-16458
N6-ACETYLKANAMYCIN-B	AMINOGLYCOSIDE-N6-ACETYLTRANSFERASE-RXN
CPD-19751	""
+-5-oxo-1-2-campholide	R544-RXN // R543-RXN
CPD-592	GUANIDINOBUTYRASE-RXN // GUANIDINOBUTANAMIDE-NH3-RXN // RXN-15646 // 1.2.1.54-RXN
7-O-BETA-D-APIOFURANOSYL-12-BETA-D-GLU	FLAVONE-APIOSYLTRANSFERASE-RXN
CPD-9013	""
CPD-11223	RXN-10426 // RXN-10425
CPD0-1583	""
CPD-13931	RXN-12897 // RXN-12898
CPDQT-373	RXN-14355
CPD-17545	RXN-16294
N-METHYLHYDANTOIN	3.5.2.14-RXN // CREATININE-DEAMINASE-RXN
CPD-19596	""
CPD-574	BIOTINIDASE-RXN
6-O-METHYLNORLAUDANOSOLINE	2.1.1.121-RXN // RXN-14879
CPD-8963	""
CPD-10902	RXN-17100
CPD0-1541	""
CPD-13894	RXN-12851 // RXN-12860
CPD66-70	RXN66-520 // RXN66-497
CPD-17318	RXN-16074 // RXN-16073
N-ETHYLMALEIMIDE	RXN0-5101
CPD-19538	""
CPD-5581	""
5Z13E-69-ALPHA-EPOXY-11-ALPHA-HYDROXPROS	1.1.1.231-RXN
CPD-8857	""
CPD-10807	RXN-10054 // RXN-8075
CPD0-1499	""
CPD-13757	RXN-12749 // RXN-12750
CPD66-29	RXN66-362 // RXN66-342
CPD-16967	""
N-ACETYL-TRYPTOPHANAMIDE	""
CPD-19442	""
CPD-5442	""
5-OXOPROLINE	5-OXOPROLINASE-ATP-HYDROLYSING-RXN // 3.4.19.6-RXN // PYROGLUTAMYL-PEPTIDASE-I-RXN // GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN // RXN-15681 // RXN-13218
CPD-8816	RXN-17555
CPD-10754	RXN-10003 // RXN-10002
CPD0-1476	""
CPD-13657	RXN-12675
CPD0-955	""
CPD-16904	RXN-15692
MYCOTHIONE	RXN-11188 // RXN1G-6 // 1.8.1.15-RXN
CPD-19423	RXN-18132
CPD-511	PANTETHEINE-KINASE-RXN // 3.5.1.92-RXN // PANTOTHENOYLCYSTEINE-DECARBOXYLASE-RXN
5-HYDROXY-CONIFERYL-ALCOHOL	RXN-1144
CPD-866	R545-RXN // RXN-13044 // R544-RXN
CPD-10671	""
CPD0-1436	""
CPD-13504	""
CPD0-2626	""
CPD-16770	""
METHYL-ACETATE	RXN-17572 // RXN-17567
CPD-19387	""
CPD-485	""
5-34-DIACETOXYBUT-1-YNYL-22-BITHIOP	3.1.1.66-RXN
CPD-842	RXN-8394 // R525-RXN // RXN-8401
CPD-10623	RXN-9880 // RXN-9877
CPD0-1398	""
CPD-13343	""
CPD0-2576	""
CPD-16562	""
LIPOYL-AMP	RXN-8655 // RXN-13039 // RXN-8654
CPD-19288	RXN-17998 // RXN-14874
CPD-4589	""
4-O-BETA-D-GLUCOSYL-CIS-P-COUMARATE	2.4.1.209-RXN
CPD-805	R465-RXN // R462-RXN // RXN-8935
CPD-10570	RXN-9828 // RXN-9827
CPD0-1329	""
CPD-13153	""
CPD0-2537	""
CPD-16451	""
L-N2-2-CARBOXYETHYLARGININE	6.3.3.4-RXN // 2.5.1.66-RXN
CPD-19188	RXN-17825
CPD-4521	""
4-FUMARYL-ACETOACETATE	FUMARYLACETOACETASE-RXN // MALEYLACETOACETATE-ISOMERASE-RXN
CPD-79	RXN-92
CPD-10475	RXN-8666
CPD0-1260	""
CPD-13046	""
CPD0-2495	""
CPD-15995	RXN-15102 // RXN-15105
KOJIC-ACID	""
CPD-19064	RXN-17624
CPD-4402	RXN-4505 // RXN-5111 // RXN-13699
345-TRIHYDROXY-367-TRIMETHOXYFLAVO	RXN-13855 // 2.1.1.84-RXN
CPD-7770	""
CPD-10228	RXN-9585 // RXN-9584
CPD0-1198	RXN-15590
CPD-12838	RXN-11849
CPD0-2400	""
CPD-15907	RXN-15022 // RXN-15021
ISOBUTANOL	RXN-7657 // RXN0-7119
CPD-19014	RXN-17606 // RXN-17608 // RXN-17603 // RXN-17607
